JoJo no Kimyou na Bouken Part 3: Stardust Crusaders	8.1	7.066094965856757
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season	8.44	7.266094965856757
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai	8.5	7.766094965856757
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze	8.58	8.060086332597052
JoJo no Kimyou na Bouken Part 6: Stone Ocean	8.27	7.132189931713515
Jormungand	7.81	6.165237414641893
Josee to Tora to Sakana-tachi	8.43	6.295661073174174
Jujutsu Kaisen	8.67	8.027539569106983
Jujutsu Kaisen 0 Movie	8.51	8.060086332597052
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen	8.41	7.771628929398293
Kaguya-sama wa Kokurasetai: Ultra Romantic	9.1	8.055079138213966
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen	8.65	8.092274981031531
Kakegurui	7.25	6.791309353660473
Kami nomi zo Shiru Sekai	7.67	6.380135665509653
Kami nomi zo Shiru Sekai II	7.89	6.522992808366796
Kami nomi zo Shiru Sekai: Megami-hen	8.01	6.110158276427929
Kami nomi zo Shiru Sekai: Tenri-hen	7.68	5.532189931713515
Kanojo, Okarishimasu	7.15	5.690067832754828
Kanon (2006)	7.96	6.886983219522524
Kara no Kyoukai Movie 1: Fukan Fuukei	7.58	7.132189931713515
Karakai Jouzu no Takagi-san	7.71	6.082618707320947
Karigurashi no Arrietty	7.89	4.5536498861891905
Katanagatari	8.32	8.532189931713514
Kawaii dake ja Nai Shikimori-san	6.94	4.915237414641893
Kaze no Stigma	7.19	6.415237414641893
Kaze no Tani no Nausica 	8.36	6.443491609761262
Kekkai Sensen	7.61	6.23727852265251
Kill la Kill	8.04	7.577396643904505
Kimetsu no Yaiba	8.53	7.718997350450924
Kimetsu no Yaiba Movie: Mugen Ressha-hen	8.64	7.3329970387392684
Kimetsu no Yaiba: Yuukaku-hen	8.84	6.710729977237838
Kimi ga Aruji de Shitsuji ga Ore de	7.12	6.330474829283785
Kimi ga Nozomu Eien	7.19	6.330474829283785
Kimi no Na wa.	8.86	8.420041289502937
Kingdom	7.95	5.330474829283785
Kingdom 2nd Season	8.34	5.830474829283785
Kingdom 3rd Season	8.81	6.830474829283785
Kizumonogatari I: Tekketsu-hen	8.37	6.743149973735967
Kizumonogatari II: Nekketsu-hen	8.58	5.896996127582121
Kizumonogatari III: Reiketsu-hen	8.8	6.204688435274429
Knight's & Magic	7.08	3.5536498861891905
Kobayashi-san Chi no Maid Dragon	7.98	7.118639261326255
Koe no Katachi	8.95	8.698140459931787
Kokoro Connect	7.76	6.610158276427929
Kokoro Connect: Michi Random	7.94	3.1652374146418927
Kono Subarashii Sekai ni Shukufuku wo!	8.12	6.862408803445151
Kono Subarashii Sekai ni Shukufuku wo! 2	8.27	6.853809353660473
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu	8.46	7.241904514415234
Kore wa Zombie Desu ka?	7.36	5.132189931713515
Kore wa Zombie Desu ka? of the Dead	7.5	5.522992808366796
Kumo Desu ga, Nani ka?	7.45	4.665237414641893
Kyoukai no Kanata	7.73	6.943491609761262
Log Horizon	7.94	7.457618707320947
Log Horizon 2nd Season	7.58	5.665237414641893
Love Hina	7.11	5.830474829283785
Love Hina Again	7.22	5.830474829283785
Love Hina: Motoko no Sentaku, Koi ka Ken... "Naku na"	7.23	5.330474829283785
Love Live! Sunshine!!	7.38	7.332618707320947
Love Live! Sunshine!! 2nd Season	7.57	7.457618707320947
Love Live! Superstar!!	7.99	6.610158276427929
Madan no Ou to Vanadis	7.12	5.5536498861891905
Made in Abyss	8.67	8.228809353660473
Made in Abyss Movie 1: Tabidachi no Yoake	8.15	4.5536498861891905
Made in Abyss Movie 2: Hourou Suru Tasogare	8.37	4.5536498861891905
Made in Abyss Movie 3: Fukaki Tamashii no Reimei	8.65	7.138412471547297
Made in Abyss: Retsujitsu no Ougonkyou	8.74	7.808707094081081
Magi: The Labyrinth of Magic	8.02	7.207618707320947
Mahou Shoujo MadokaÅöMagica	8.36	7.783047482928378
Mahou Shoujo MadokaÅöMagica Movie 3: Hangyaku no Monogatari	8.47	7.514631787142506
Mahouka Koukou no Rettousei	7.42	6.332618707320947
Mairimashita! Iruma-kun	7.75	6.962327739840841
Mairimashita! Iruma-kun 2nd Season	8.07	7.082618707320947
Maji de Watashi ni Koi Shinasai!	6.69	4.165237414641893
Majo no Takkyuubin	8.22	7.962327739840841
Mamahaha no Tsurego ga Motokano datta	6.79	5.830474829283785
Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou	7.38	5.628994406507508
Maoyuu Maou Yuusha	7.25	5.665849951223938
Masamune-kun no Revenge	6.74	4.23727852265251
Mashiro-iro Symphony: The Color of Lovers	7.04	5.415237414641893
Megalo Box	7.89	7.332189931713515
Mekakucity Actors	7.03	5.776824943094595
Michiko to Hatchin	7.84	6.830474829283785
Mirai Nikki (TV)	7.44	6.332813605324325
Mirai Nikki: Redial	7.31	3.9576187073209463
Mo Dao Zu Shi	8.46	8.165237414641894
Mo Dao Zu Shi: Xian Yun Pian	8.45	7.915237414641893
Mob Psycho 100	8.49	7.592274981031531
Mob Psycho 100 II	8.81	8.041309353660472
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?	7.46	5.776824943094595
Monogatari Series: Second Season	8.77	8.166094965856757
Monster Musume no Iru Nichijou	6.99	6.808707094081082
Motto To LOVE-Ru	7.28	6.665237414641893
Munou na Nana	7.19	6.073438850951952
Mushoku Tensei: Isekai Ittara Honki Dasu	8.38	7.404353547040541
Naruto	7.97	6.87826815077887
Naruto: Shippuuden	8.25	6.957618707320947
Natsume Yuujinchou	8.32	4.915237414641893
Nekomonogatari: Kuro	7.93	7.055079138213964
Neon Genesis Evangelion	8.34	8.221745804880632
Neon Genesis Evangelion: The End of Evangelion	8.55	8.150995423506144
Net-juu no Susume	7.56	5.943491609761262
Net-juu no Susume Special	7.36	3.7321899317135143
Nichijou	8.46	7.23727852265251
Nisekoi	7.59	6.547210689897684
Nisekoi:	7.36	6.060086332597051
Nisemonogatari	8.15	6.9757821184691124
No Game No Life	8.1	7.506997811242068
Nodame Cantabile	8.28	6.830474829283785
Nodame Cantabile: Finale	8.24	5.830474829283785
Nodame Cantabile: Paris-hen	8.14	6.330474829283785
Noein: Mou Hitori no Kimi e	7.58	6.830474829283785
Noragami	7.96	6.512380742966736
Noragami Aragoto	8.16	7.241904514415234
Nyan Koi!	7.14	3.8869832195225236
Odd Taxi	8.72	8.297944718871978
One Piece Film: Strong World	8.1	5.330474829283785
One Piece Film: Strong World Episode 0	7.96	3.5536498861891905
One Piece Film: Z	8.15	4.915237414641893
One Piece Movie 14: Stampede	8.24	5.415237414641893
One Punch Man	8.51	7.89367952993489
One Punch Man 2nd Season	7.48	6.138412471547297
Ookami Kodomo no Ame to Yuki	8.59	7.866094965856757
Ookami to Koushinryou	8.23	7.514631787142506
Ookami to Koushinryou II	8.32	7.582618707320947
Ore ga Ojousama Gakkou ni "Shomin Sample" Toshite Gets Sareta Ken	6.71	4.830474829283785
Ore no Kanojo to Osananajimi ga Shuraba Sugiru	6.94	4.776824943094595
Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru	7.18	4.732189931713514
Ore wo Suki nano wa Omae dake ka yo	7.32	5.610158276427929
Osananajimi ga Zettai ni Makenai Love Comedy	6.07	4.830474829283785
Otome Game Sekai wa Mob ni Kibishii Sekai desu	7.35	4.9321899317135145
Otome wa Boku ni Koishiteru: Futari no Elder The Animation	6.8	4.830474829283785
Ousama Ranking	8.58	7.951564236938225
Overlord	7.92	6.404353547040541
Overlord II	7.76	6.696449968960688
Overlord III	7.92	6.787359059869779
Owarimonogatari	8.45	7.066094965856757
Owarimonogatari 2nd Season	8.89	7.866094965856757
Paripi Koumei	8.23	6.094421379795367
Penguin Highway	7.58	6.830474829283785
Perfect Blue	8.53	8.305079138213964
Plastic Memories	7.91	6.582618707320947
Princess Connect! Re:Dive	7.05	7.276824943094595
Prison School	7.62	6.55364988618919
Prison School: Mad Wax	7.38	5.830474829283785
Rakudai Kishi no Cavalry	7.46	5.332618707320947
Re:Creators	7.55	4.5536498861891905
Re:Zero kara Hajimeru Isekai Seikatsu	8.24	7.745759507550836
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season	8.36	7.647830536587087
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2	8.46	6.577396643904505
Renai Boukun	6.63	3.220316552855857
Rikei ga Koi ni Ochita no de Shoumei shitemita.	7.37	4.915237414641893
Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart	7.31	4.415237414641893
Rosario to Vampire	6.76	6.943491609761262
Rosario to Vampire Capu2	6.91	6.943491609761262
Sabikui Bisco	7.19	3.6652374146418927
Saenai Heroine no Sodatekata	7.49	5.957618707320947
Saenai Heroine no Sodatekata ÅÛ	7.77	5.943491609761262
Saenai Heroine no Sodatekata Fine	8.44	6.276824943094596
Saihate no Paladin	6.85	4.9321899317135145
Saiki Kusuo no Éµ-nan 2	8.43	7.380135665509653
